document;TTR;C;R;CTTR;U;S;Maas;lgV0;lgeV0
A Scandal in Bohemia;0.4898923601995274;0.9134555452336054;30.234734067497904;21.37918548649969;41.375394672327204;0.929036274978154;0.1554636733922073;8.037851914727925;18.507837998546158
The Red-headed League;0.4463152757442655;0.9030169494078848;28.571150472745433;20.202854245579527;37.24951867371846;0.9205758568764486;0.16384744268548715;7.593520320071174;17.48472669234326
A Case of Identity;0.4770496992719215;0.9081492169131967;26.812569753807367;18.95934989395451;38.100378769747785;0.9230848305311791;0.16200758695785342;7.591398171040504;17.479840263620144
The Boscombe Valley Mystery;0.43570921146104663;0.9004851168082981;28.314394732862045;20.021300520799414;36.432953193952336;0.9186183553522442;0.1656734103055154;7.507281439935209;17.286154332505692
The Five Orange Pips;0.509875417806138;0.9168300665757471;29.25014446252701;20.68297550013899;42.290858456653446;0.9309588697207252;0.1537718182140072;8.07656548172894;18.596979280819316
The Man with the Twisted Lip;0.45430622009569377;0.9053756872421421;29.372223476640688;20.769298398859345;38.26898369176608;0.9227499367530049;0.16165030768495786;7.721235810116869;17.77880247586691
The Adventure of the Blue Carbuncle;0.46906636670416196;0.9074150247369802;27.97146223676092;19.778810627317082;38.35354216178634;0.9233318049026202;0.16147201326628943;7.667593902775152;17.6552874196621
The Adventure of the Speckled Band;0.4402487783207463;0.9024740501907883;29.539347972352388;20.887473263079468;37.460855267870684;0.9208007017779136;0.16338461374354488;7.654434921450628;17.624987745425276
The Adventure of the Engineer's Thumb;0.46889432219505567;0.9077599049160276;28.44840241751136;20.116058263346055;38.65960691172672;0.9238849313643194;0.16083156319878458;7.716608067604778;17.768146704944343
The Adventure of the Noble Bachelor;0.4589673913043478;0.905150700113634;27.842340489137104;19.687507763973624;37.59487758945581;0.9216189356342396;0.16309312808270193;7.592800066550265;17.483068247322826
The Adventure of the Beryl Coronet;0.424770198355104;0.8971770277491535;27.31110521951762;19.311867702420223;35.17084162349235;0.9155935137753605;0.16861981929192488;7.346019114039408;16.91483410483648
The Adventure of the Copper Beeches;0.415819209039548;0.8954732536744802;27.6605738305041;19.558979327060605;34.880194813293514;0.9146549648983038;0.16932089252110158;7.334768417424994;16.88892841852631
